Date,Open,Volume,High,Low,Close
8/19/04,49.81,44871300,51.84,47.8,49.98
8/20/04,50.32,22942800,54.34,50.06,53.95
8/23/04,55.17,18342800,56.53,54.32,54.5
8/24/04,55.41,15319700,55.59,51.59,52.24
8/25/04,52.28,9232100,53.8,51.75,52.8
8/26/04,52.28,7128600,53.77,52.13,53.75
8/27/04,53.85,6241200,54.11,52.65,52.88
8/30/04,52.44,5221400,52.55,50.81,50.81
8/31/04,50.96,4941200,51.66,50.89,50.99
9/1/04,51.16,9181600,51.29,49.65,49.94
9/2/04,49.41,15190400,50.99,49.29,50.57
9/3/04,50.29,5176800,50.68,49.47,49.82
9/7/04,50.32,5875200,50.81,49.62,50.6
9/8/04,50.18,5009200,51.32,50.06,50.96
9/9/04,51.07,4080900,51.16,50.31,50.96
9/10/04,50.61,8740200,53.08,50.46,52.47
9/13/04,53.12,7881300,54,53.03,53.55
9/14/04,53.52,10880300,55.79,53.2,55.54
9/15/04,55.07,10763900,56.9,54.89,55.79
9/16/04,55.96,9310200,57.68,55.62,56.77
9/17/04,57,9517400,58.53,56.56,58.53
9/20/04,58.26,10679200,60.57,58.17,59.46
9/21/04,59.68,7263000,59.99,58.54,58.7
9/22/04,58.48,7617100,59.61,58.19,58.97
9/23/04,59.2,8576100,61.09,58.29,60.18
9/24/04,60.24,9166700,61.82,59.66,59.69
9/27/04,59.56,7099600,60.21,58.68,58.91
9/28/04,60.42,17009400,63.46,59.88,63.19
9/29/04,63.11,30661400,67.26,62.88,65.3
9/30/04,64.71,13823300,65.9,64.26,64.56
10/1/04,65.16,15196700,66.87,64.21,66.04
10/4/04,67.37,13084600,68.18,66.76,67.28
10/5/04,67.08,15044200,69.01,65.87,68.93
10/6/04,68.52,13444900,68.97,67.75,68.28
10/7/04,68.2,14182100,69.68,68.02,69.17
10/8/04,69.1,11122000,69.58,68.25,68.61
10/11/04,68.24,10521800,69.17,66.68,67.38
10/12/04,66.97,11720800,68.55,66.45,68.44
10/13/04,71.39,19860000,71.51,69.78,70.19
10/14/04,70.24,10491700,70.92,69.02,70.73
10/15/04,72.19,13257400,72.48,70.71,71.79
10/18/04,71.33,14103000,74.32,70.34,74.3
10/19/04,74.97,18195900,75.92,73.4,73.69
10/20/04,73.74,22830600,74.22,69.54,69.98
10/21/04,71.93,29288200,74.78,70.55,74.41
10/22/04,84.95,74060200,89.75,81.73,85.89
10/25/04,87.87,65773900,96.85,85.95,93.35
10/26/04,92.82,44781400,95.96,89.66,90.56
10/27/04,91.02,26813100,94.41,90.55,92.64
10/28/04,92.99,29804800,96.83,92.45,96.29
10/29/04,99.07,42483600,99.6,94.94,94.96
11/1/04,96.41,24541300,98.47,95.28,97.65
11/2/04,99.02,22777500,99.25,96.31,97.07
11/3/04,98.72,27881400,100.42,95.02,95.48
11/4/04,93.87,28927200,94.84,91.33,92.01
11/5/04,90.65,39814800,90.81,83.96,84.36
11/8/04,85.15,22467400,87.39,84.38,85.95
11/9/04,86.72,22211300,87.27,82.33,84.04
11/10/04,85.02,21367700,85.94,82.85,83.62
11/11/04,84.25,30083200,91.53,83.47,91.17
11/12/04,92.27,33617600,94.55,88.37,90.66
11/15/04,89.89,23892200,93.81,89.04,92.09
11/16/04,88.42,41991500,89.4,85.1,85.95
11/17/04,84.19,36401600,88.42,84.18,85.93
11/18/04,84.83,33383800,86.88,82.56,83.46
11/19/04,84.23,17604300,84.67,82.95,84.38
11/22/04,81.93,24829000,84.43,80.35,82.24
11/23/04,83.67,24919600,85.1,82.94,83.45
11/24/04,87.08,30676400,88.27,85.93,87.05
11/26/04,87.57,13008700,89.68,87.33,89.36
11/29/04,89.84,21413100,91.13,88.42,90.19
11/30/04,90.02,15457600,91.16,89.79,90.65
12/1/04,90.64,15787100,90.91,89.44,89.64
12/2/04,89.61,12568700,90.42,88.94,89.37
12/3/04,89.64,11782300,90.19,88.47,89.86
12/6/04,89.23,12554800,90.01,87.68,87.82
12/7/04,87.67,13793200,87.77,84.96,85.39
12/8/04,84.86,15140000,86.52,84.05,84.67
12/9/04,84.81,15365300,86.43,83.92,86.39
12/10/04,86.39,8666700,87.11,85.33,85.5
12/13/04,85.76,9673200,86.27,84.41,84.91
12/14/04,85.18,22259800,89.08,84.48,89.01
12/15/04,88.66,23027900,90.01,88,89.55
12/16/04,88.14,17209800,89.91,87.65,87.91
12/17/04,88.05,14827600,89.91,87.95,89.7
12/20/04,90.66,19742600,93.88,90.6,92.16
12/21/04,92.81,11073900,93.59,91.36,91.53
12/22/04,91.61,7843200,93.08,91.16,92.8
12/23/04,93.38,7256200,93.95,92.65,93.6
12/27/04,94.22,12253900,96.29,94.2,95.6
12/28/04,95.7,8322500,96.41,95.15,96.02
12/29/04,95.53,5376200,96.4,95.53,96.09
12/30/04,96.12,11852800,98.74,95.57,98.43
12/31/04,99.24,15394400,99.57,95.92,96.04
1/3/05,98.33,31807000,101.44,97.37,100.98
1/4/05,100.32,27614900,101.09,96.38,96.89
1/5/05,96.36,16534800,98.08,95.76,96.39
1/6/05,97.18,20851900,97.58,93.51,93.92
1/7/05,94.96,19398200,96.76,94.04,96.56
1/10/05,96.89,15135600,98.68,95.56,97.17
1/11/05,97.44,13969500,98.49,96.23,96.41
1/12/05,96.8,16416800,97.6,94.89,97.33
1/13/05,97.33,13750000,98.33,96.66,97.3
1/14/05,97.63,19352700,99.63,96.7,99.61
1/18/05,100.11,26443900,102.13,98.96,101.57
1/19/05,101.94,22599700,102.27,97.99,98.28
1/20/05,95.89,18070600,97.76,95.64,96.6
1/21/05,96.91,18586100,97.32,93.71,93.79
1/24/05,93.99,28150400,94.31,89.82,90.02
1/25/05,90.63,21398200,90.78,87.82,88.23
1/26/05,89.3,24708000,94.35,89.24,94.27
1/27/05,94.03,13304400,94.08,92.25,93.69
1/28/05,94.66,24507900,96.99,92.82,94.81
1/31/05,96.48,19265200,97.81,95.5,97.44
2/1/05,96.83,37819100,97.96,94.96,95.59
2/2/05,107.37,65844300,108,101.45,102.6
2/3/05,102.61,26073400,106.29,102.52,105.04
2/4/05,102.85,29749600,103.49,100.92,101.8
2/7/05,102.25,26017900,102.81,97.39,97.65
2/8/05,98.11,23045900,99.64,96.9,98.95
2/9/05,100.01,34471600,100.42,94.38,95.43
2/10/05,95.63,38107600,95.75,92.28,93.64
2/11/05,92.98,26330200,95.8,92.69,93.35
2/14/05,91.08,77413400,96.18,90.16,96.13
2/15/05,96.44,51758800,99.55,96.18,97.25
2/16/05,96.99,33188400,99.29,96.79,98.83
2/17/05,98.55,20906800,99.5,98.04,98.58
2/18/05,98.88,17035300,99.05,97.96,98.61
2/22/05,97.88,27068400,99.08,94.84,95.33
2/23/05,96.29,31288700,96.88,93.98,96.61
2/24/05,91.34,51822000,94.57,90.77,94.09
2/25/05,94.22,20021700,94.61,92.41,92.59
2/28/05,92.65,15695300,94.58,92.58,93.64
3/1/05,94.29,18692100,94.52,90.66,92.68
3/2/05,92.63,14625500,93.48,91.84,92.24
3/3/05,92.72,15274200,93.52,91.81,93.16
3/4/05,93,13598900,93.28,92.19,92.6
3/7/05,93.54,17399700,94.45,93.17,94.05
3/8/05,94.2,16152400,94.57,92.14,92.25
3/9/05,91.76,22805900,91.98,89.74,90.34
3/10/05,90.17,22003100,90.26,88.37,89.65
3/11/05,89.88,16116700,90.14,88.24,88.57
3/14/05,88.83,22376600,88.87,85.96,87.17
3/15/05,87.32,20922200,89.66,86.78,88.97
3/16/05,88.02,14265800,88.97,87.18,87.47
3/17/05,88.23,16583100,89.48,87.57,89.31
3/18/05,89.07,14233000,89.86,88.82,89.68
3/21/05,89.3,15023400,90.74,88.29,90.1
3/22/05,90.25,11305500,90.63,88.59,88.97
3/23/05,88.65,9726200,89.78,88.65,89.16
3/24/05,90.01,7438100,90.09,89.27,89.29
3/28/05,90.5,17541400,92.05,90.14,90.37
3/29/05,90.19,12994400,91.3,88.7,89.45
3/30/05,89.98,12518800,90.39,89.46,89.89
3/31/05,88.64,13587900,90.36,88.49,89.92
4/1/05,90.54,12410200,91.13,89.66,89.68
4/4/05,89.64,16213200,92.31,89.58,92.3
4/5/05,93.51,17538800,94.77,93.43,93.93
4/6/05,94.27,10544500,94.47,93.44,94.26
4/7/05,94.04,19456900,96.95,93.97,96.52
4/8/05,96.48,10271500,97.19,95.37,95.67
4/11/05,96.18,10861500,97.04,95.8,96.25
4/12/05,96.14,14694000,96.85,94.35,96.62
4/13/05,96.37,13160700,96.8,94.51,96.1
4/14/05,96.27,12351500,96.82,94.7,95.37
4/15/05,94.7,23241500,94.81,91.99,92.15
4/18/05,91.95,13149700,93.59,91.4,93.14
4/19/05,94.31,16923100,95.64,93.66,95.34
4/20/05,98.92,31018800,99.88,97.59,98.68
4/21/05,99.84,35636800,102.12,99.29,101.73
4/22/05,111.03,66659100,111.58,106.73,107.5
4/25/05,108.5,39828600,111.95,108.35,111.35
4/26/05,109.7,34673400,110.59,108.74,108.97
4/27/05,108.59,20606500,110.01,107.97,109.48
4/28/05,109.34,17430600,110.63,108.45,109.32
4/29/05,110.54,18409100,110.71,108.5,109.59
5/2/05,110.61,19607900,111.43,109.69,110.73
5/3/05,110.51,35693600,113.65,110.25,112.67
5/4/05,113.19,24257500,114.51,113.08,113.82
5/5/05,113.88,15075400,113.88,112.52,113.07
5/6/05,113.77,13578400,114.2,112.81,113.58
5/9/05,113.57,11115000,113.82,112.29,112.59
5/10/05,112.31,12739000,113.47,111.94,113.47
